id,service,feature,support_status,limitation_type,condition,details,environment,region,sku_tier,auth_mode,network_mode,source_type,source_url,source_title,quote,workaround,confidence,first_seen,last_seen
AZL-0015,Azure Resource Groups,Tag value length,supported,quota_limit,,Max/limit value: 256 chars. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Tag value length: 256 chars,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0016,ARM Templates,Parameters per template,supported,quota_limit,,Max/limit value: 256. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Parameters per template: 256,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0017,Azure Firewall,Zonal deployment,not_supported,region_restriction,,Capacity constraints block new firewall deployments in specific physical zones.,,East US 2 EUAP / North Europe / South Central US / Spain Central / West US 2 / Qatar Central,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,You can't deploy a new Azure Firewall in zone 1 and zone 4.,Deploy to remaining availability zones or use a different region.,high,2026-06-05,2026-06-05
AZL-0018,Azure Firewall,DNAT for private IP,not_supported,sku_restriction,,DNAT on private IP only available in Standard and Premium.,,,Basic,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,"Support for DNAT on Azure Firewall private IP address is available only in the Standard and Premium Firewall versions, not in the Basic version.",Upgrade to Standard or Premium.,high,2026-06-05,2026-06-05
AZL-0019,Azure Firewall,Allocation with private IP DNAT rules,known_issue,behavior,,Allocation process fails when private DNAT rules are configured.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,The Azure Firewall allocation process fails when private DNAT rules are configured,"Deallocate, delete private IP DNAT rules, allocate, then reconfigure rules.",high,2026-06-05,2026-06-05
AZL-0020,Azure Firewall,Non-TCP/UDP network filtering (ICMP),known_issue,behavior,,Network filtering rules for non-TCP/UDP protocols don't work for Internet-bound traffic (SNAT not supported for IP protocols).,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,Network filtering rules for non-TCP/UDP protocols don't work with SNAT to your public IP address.,,high,2026-06-05,2026-06-05
AZL-0021,Azure Firewall,Child firewall policy DNS inheritance,known_issue,behavior,,Child policies don't inherit DNS settings from parent policies.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,Child firewall policies don't inherit DNS settings from parent policies.,Configure DNS settings directly on each child policy.,high,2026-06-05,2026-06-05
AZL-0022,Azure Firewall,ICMP in PowerShell/CLI,not_supported,tooling,,ICMP not supported as a valid protocol in network rules via PowerShell/CLI.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,Azure PowerShell and CLI don't support ICMP as a valid protocol in network rules.,Use ICMP via the portal and REST API.,high,2026-06-05,2026-06-05
AZL-0023,Azure Firewall,Move firewall resource,not_supported,operation_restriction,,Moving a firewall to a different resource group or subscription isn't supported.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,Moving a firewall to a different resource group or subscription isn't supported.,Delete the current instance and recreate it in the new RG/subscription.,high,2026-06-05,2026-06-05
AZL-0024,Azure Firewall,Availability zone config on secured vHub,not_supported,operation_restriction,,AZ can only be configured during deployment for secured virtual hubs.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,You can't configure Availability Zones after a firewall with secured virtual hubs is deployed.,,high,2026-06-05,2026-06-05
AZL-0025,Azure Firewall,Outbound SMTP TCP port 25,not_supported,platform_limitation,,Azure platform blocks outbound email to external domains on TCP port 25.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,The Azure platform blocks outbound email messages sent directly to external domains ... on TCP port 25.,Use authenticated SMTP relay (port 587) or deploy in a standard EA subscription.,high,2026-06-05,2026-06-05
AZL-0026,Azure Firewall,SNAT port exhaustion,known_issue,platform_limitation,,"2,496 SNAT ports per Public IP per backend VMSS instance; default 4,992 ports per flow; max 20 instances.",,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,SNAT port exhaustion is a platform limitation.,Use min 5 public IPs; add IPs to increase ports; for permanent fix deploy NAT gateway.,high,2026-06-05,2026-06-05
AZL-0027,Azure Firewall,Forced tunneling + DNAT,not_supported,behavior,,DNAT isn't supported when Forced Tunneling is enabled (asymmetric routing).,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,Firewalls deployed with Forced Tunneling enabled can't support inbound access from the Internet because of asymmetric routing.,,high,2026-06-05,2026-06-05
AZL-0028,Azure Firewall,NAT rules port range 64000-65535,not_supported,behavior,,NAT rules only support ports in the 1-63999 range.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,NAT rules only support ports in the 1-63999 range.,,high,2026-06-05,2026-06-05
AZL-0029,Azure Firewall,IPv6 addresses in rules,not_supported,behavior,,Adding an IPv6 address to a rule causes the firewall to fail.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,IPv6 not currently supported,Use only IPv4 addresses.,high,2026-06-05,2026-06-05
AZL-0030,Azure Firewall,Rule collections max,supported,quota_limit,,"Maximum 2,000 NAT/Application/Network rule collections (Resource Manager limit).",,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,The maximal number of NAT/Application or Network rule collections is 2000 (Resource Manager limit).,,high,2026-06-05,2026-06-05
AZL-0031,Azure Firewall,Public IP cross-tenant association,not_supported,operation_restriction,,Associating a Public IP with a firewall isn't supported cross-tenant.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,you can't associate it with a firewall deployed in tenant B.,,high,2026-06-05,2026-06-05
AZL-0032,Azure Firewall,Premium TLS 1.3,partially_supported,behavior,,"TLS 1.3 partially supported: client-to-firewall uses 1.2, firewall-to-server uses 1.3.",,,Premium,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,TLS 1.3 is partially supported.,,high,2026-06-05,2026-06-05
AZL-0033,Azure Firewall,Premium client certificates,not_supported,behavior,,Client certificates not supported for mutual identity trust during TLS negotiation.,,,Premium,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,Client certificates are used to build a mutual identity trust between the client and the server.,,high,2026-06-05,2026-06-05
AZL-0034,Azure Firewall,Premium QUIC/HTTP3 inspection,not_supported,behavior,,FQDN/URL/TLS inspection not supported for QUIC/HTTP3 (UDP over 80/443).,,,Premium,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/firewall/firewall-known-issues,Azure Firewall known issues and limitations,FQDN/URL/TLS inspection isn't supported.,Configure passing UDP 80/443 as network rules.,high,2026-06-05,2026-06-05
AZL-0035,Azure Blob Storage (SFTP),Incompatible SFTP clients,not_supported,compatibility,,"Kemp, paramiko 1.16.0, SSH.NET 2016.1.0 or older, Renci SSH.NET 2014.6.0 are incompatible.",,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,The following clients are known to be incompatible with SFTP for Azure Blob Storage.,,high,2026-06-05,2026-06-05
AZL-0036,Azure Blob Storage (SFTP),Symbolic / hard links,not_supported,feature_gap,,Creating/reading symbolic links and hard links not supported.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,Symbolic links aren't supported.,,high,2026-06-05,2026-06-05
AZL-0037,Azure Blob Storage (SFTP),Random writes (READ+WRITE flag ops),not_supported,feature_gap,,Operations that include both READ and WRITE flags are unsupported.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,Operations that include both READ and WRITE flags. For example: SSH.NET create API,,high,2026-06-05,2026-06-05
AZL-0038,Azure Blob Storage (SFTP),Cross-container operations,not_supported,feature_gap,,Traversing between containers from same connection unsupported.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,Traversing between containers or performing operations on multiple containers from the same connection are unsupported.,,high,2026-06-05,2026-06-05
AZL-0039,Azure Blob Storage (SFTP),Identity management,not_supported,auth_restriction,,Only local users supported; Microsoft Entra ID not supported for SFTP endpoint.,,,,Local users only,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,Microsoft Entra ID isn't supported for the SFTP endpoint.,,high,2026-06-05,2026-06-05
AZL-0040,Azure Blob Storage (SFTP),Static IP addresses,not_supported,network_restriction,,Static IP addresses aren't supported for storage accounts.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,Static IP addresses aren't supported for storage accounts.,,high,2026-06-05,2026-06-05
AZL-0041,Azure Blob Storage (SFTP),Max file upload size,supported,quota_limit,,Max file upload via SFTP endpoint is 500 GB.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,Maximum file upload size via the SFTP endpoint is 500 GB.,,high,2026-06-05,2026-06-05
AZL-0042,Azure Blob Storage (SFTP),Idle connection timeout,known_issue,behavior,,2-minute timeout for idle/inactive connections.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,There's a 2-minute time out for idle or inactive connections.,Some clients reconnect automatically.,high,2026-06-05,2026-06-05
AZL-0043,Azure Blob Storage (SFTP),Change redundancy/replication while SFTP enabled,not_supported,operation_restriction,,Cannot change redundancy/replication settings while SFTP is enabled.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,"To change the storage account's redundancy/replication settings, SFTP must be disabled.","Disable SFTP, convert, then re-enable SFTP.",high,2026-06-05,2026-06-05
AZL-0044,Azure Blob Storage (SFTP),FTP / FTPS,not_supported,feature_gap,,FTP and FTPS aren't supported (only SFTP / SSH v2).,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,FTPS and FTP aren't supported.,,high,2026-06-05,2026-06-05
AZL-0045,Azure Blob Storage (SFTP),Customer-managed planned failover,preview,preview_only,,Supported only at preview level in select regions.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/storage/blobs/secure-file-transfer-protocol-known-issues,Limitations & known issues with SFTP in Azure Blob Storage,Customer-managed planned failover is supported at the preview level in select regions.,,high,2026-06-05,2026-06-05
AZL-0046,Azure Resource Manager,AllocationFailed,known_issue,error_code,,Cluster/region doesn't have resources for the requested VM size.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/azure/azure-resource-manager/troubleshooting/common-deployment-errors,Troubleshoot common Azure deployment errors,AllocationFailed: Cluster/region doesn't have resources for the requested VM size.,Retry later or request a different VM size.,high,2026-06-05,2026-06-05
AZL-0047,Azure Resource Manager,DeploymentQuotaExceeded,known_issue,error_code,,Reached limit of 800 deployments per resource group.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/azure/azure-resource-manager/troubleshooting/common-deployment-errors,Troubleshoot common Azure deployment errors,DeploymentQuotaExceeded: Reached limit of 800 deployments per resource group.,Delete unneeded deployments from history.,high,2026-06-05,2026-06-05
AZL-0048,Azure Resource Manager,OperationNotAllowed,known_issue,error_code,,"Operation not allowed on SKU, or exceeds subscription/RG/region quota.",,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/azure/azure-resource-manager/troubleshooting/common-deployment-errors,Troubleshoot common Azure deployment errors,"OperationNotAllowed: Operation not allowed on SKU, or exceeds subscription/RG/region quota.",Stay within quotas or request increase.,high,2026-06-05,2026-06-05
AZL-0049,Azure Resource Manager,SkuNotAvailable,known_issue,error_code,,Selected SKU not available for the chosen location.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/azure/azure-resource-manager/troubleshooting/common-deployment-errors,Troubleshoot common Azure deployment errors,SkuNotAvailable: Selected SKU not available for the chosen location.,Select a SKU available for the location.,high,2026-06-05,2026-06-05
AZL-0050,Azure Resource Manager,PublicIPCountLimitReached,known_issue,error_code,,Reached limit for running public IPs.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/azure/azure-resource-manager/troubleshooting/common-deployment-errors,Troubleshoot common Azure deployment errors,PublicIPCountLimitReached: Reached limit for running public IPs.,Shut down resources or contact Azure support for increase.,high,2026-06-05,2026-06-05
AZL-0051,Azure Resource Manager,RegionDoesNotAllowProvisioning,known_issue,error_code,,Selected region does not allow provisioning.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/azure/azure-resource-manager/troubleshooting/common-deployment-errors,Troubleshoot common Azure deployment errors,RegionDoesNotAllowProvisioning: Selected region does not allow provisioning.,Select a different region or submit quota support request.,high,2026-06-05,2026-06-05
AZL-0052,Azure Resource Manager,RequestDisallowedByPolicy,known_issue,error_code,,A resource policy prevents the action during deployment.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/azure/azure-resource-manager/troubleshooting/common-deployment-errors,Troubleshoot common Azure deployment errors,RequestDisallowedByPolicy: A resource policy prevents the action during deployment.,Find/adjust the blocking policy or change deployment.,high,2026-06-05,2026-06-05
AZL-0053,Azure Resource Manager,SubnetIsFull,known_issue,error_code,,Not enough available addresses in subnet.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/azure/azure-resource-manager/troubleshooting/common-deployment-errors,Troubleshoot common Azure deployment errors,SubnetIsFull: Not enough available addresses in subnet.,"Release addresses, use/create a different subnet.",high,2026-06-05,2026-06-05
AZL-0054,Azure Resource Manager,DeploymentNameLengthLimitExceeded,known_issue,error_code,,Deployment name exceeds allowed length (64 chars max).,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/azure/azure-resource-manager/troubleshooting/common-deployment-errors,Troubleshoot common Azure deployment errors,DeploymentNameLengthLimitExceeded: Deployment name exceeds allowed length (64 chars max).,Shorten the deployment name.,high,2026-06-05,2026-06-05
AZL-0055,Azure Resource Manager,SubscriptionRequestsThrottled,known_issue,error_code,,ARM throttles requests at subscription/tenant level.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/azure/azure-resource-manager/troubleshooting/common-deployment-errors,Troubleshoot common Azure deployment errors,SubscriptionRequestsThrottled: ARM throttles requests at subscription/tenant level.,Respect the Retry-After value.,high,2026-06-05,2026-06-05
AZL-0056,Azure Networking,Move publicIPAddresses,not_supported,operation_restriction,,Move for resource type publicIPAddresses is not supported across RG/subscription.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/virtual-machines/windows/move-resources-resource-type-not-supported,Azure resource move fails - resource type not supported,Move for resource type publicIPAddresses is not supported.,Remove unsupported types from selection; recreate after move.,high,2026-06-05,2026-06-05
AZL-0057,Azure Resource Manager,Resource type move support,partially_supported,operation_restriction,,Some resource types don't support moves between RGs or subscriptions; check the move support table.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/virtual-machines/windows/move-resources-resource-type-not-supported,Azure resource move fails - resource type not supported,Some Azure resource types don't support moves between resource groups or subscriptions.,Verify against the move support table; adjust the move.,high,2026-06-05,2026-06-05
AZL-0058,Azure Site Recovery (Scout 8.0.1),Application Protection / P2P / Backup / virtual snapshot / Unix platforms,deprecated,feature_removed,,Support removed; continued usage not covered under Microsoft support agreement.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/site-recovery/getting-started/unsupported-features-and-platforms-post-upgrade,Unsupported Features and Platforms post upgrade to Azure Recovery Services Scout 8.0.1,"Azure Recovery Services Scout 8.0.1 removed support for all Application Protection, P2P, Backup Solutions, virtual snapshot, Unix platforms.",,high,2026-06-05,2026-06-05
AZL-0059,Azure Site Recovery (Scout 8.0.1),"App-aware protection (MSSQL, Exchange, Oracle, etc.)",not_supported,feature_gap,,Application aware protection/failover/failback not supported.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/site-recovery/getting-started/unsupported-features-and-platforms-post-upgrade,Unsupported Features and Platforms post upgrade to Azure Recovery Services Scout 8.0.1,"Any Application aware features (MSSQL, File Server, MS Exchange, Oracle, Oracle RAC, DB2, MySQL, SharePoint, BES) protection/failover/failback",,high,2026-06-05,2026-06-05
AZL-0060,Azure Site Recovery (Scout 8.0.1),"Linux platforms (Ubuntu, RHEL4, Debian, AIX, Solaris)",not_supported,platform_restriction,,Listed Unix/Linux platforms no longer supported.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/site-recovery/getting-started/unsupported-features-and-platforms-post-upgrade,Unsupported Features and Platforms post upgrade to Azure Recovery Services Scout 8.0.1,Linux CX (Configuration Server and Process Server) ... Ubuntu ... RHEL4 ... Debian ... AIX ... Solaris,,high,2026-06-05,2026-06-05
AZL-0061,Azure Site Recovery (Scout 8.0.1),Virtual-to-virtual scenarios,deprecated,feature_removed,,All V2V scenarios deprecated except VMware 5.1 and 5.5.,,,,,,learn_troubleshoot,https://learn.microsoft.com/en-us/troubleshoot/azure/site-recovery/getting-started/unsupported-features-and-platforms-post-upgrade,Unsupported Features and Platforms post upgrade to Azure Recovery Services Scout 8.0.1,All virtual to virtual scenarios are deprecated (except VMware 5.1 and 5.5),,high,2026-06-05,2026-06-05
AZL-0062,Azure Kubernetes Service,Max clusters per subscription globally,supported,quota_limit,,"5,000.",,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions,"Limits for resources, SKUs, and regions in Azure Kubernetes Service (AKS)","Maximum number of clusters per subscription globally|5,000",,high,2026-06-05,2026-06-05
AZL-0063,Azure Kubernetes Service,Max nodes per cluster (VMSS + Standard LB),supported,quota_limit,,"5,000 across all node pools.",,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions,"Limits for resources, SKUs, and regions in Azure Kubernetes Service (AKS)","Maximum nodes per cluster with Virtual Machine Scale Sets and Standard Load Balancer SKU|5,000",,high,2026-06-05,2026-06-05
AZL-0064,Azure Kubernetes Service,Max nodes per node pool (VMSS),supported,quota_limit,,"1,000.",,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions,"Limits for resources, SKUs, and regions in Azure Kubernetes Service (AKS)",Maximum nodes per node pool (Virtual Machine Scale Sets node pools)|1000,,high,2026-06-05,2026-06-05
AZL-0065,Azure Kubernetes Service,Max node pools per cluster,supported,quota_limit,,100.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions,"Limits for resources, SKUs, and regions in Azure Kubernetes Service (AKS)",Maximum node pools per cluster|100,,high,2026-06-05,2026-06-05
AZL-0066,Azure Kubernetes Service,Max pods per node (Kubenet),supported,quota_limit,,Max 250; CLI/ARM default 110; portal default 30.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions,"Limits for resources, SKUs, and regions in Azure Kubernetes Service (AKS)",Maximum pods per node: with Kubenet networking plug-in|Maximum: 250,,high,2026-06-05,2026-06-05
AZL-0067,Azure Kubernetes Service,Free tier production use,not_supported,recommendation,,Free tier not advised for production/critical workloads; recommended node limit 10.,,,Free,,,learn_docs,https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions,"Limits for resources, SKUs, and regions in Azure Kubernetes Service (AKS)",Not advised for production/critical workloads.,Use Standard tier for production.,high,2026-06-05,2026-06-05
AZL-0068,Azure Kubernetes Service,AKS cluster quota (EA subscriptions),supported,quota_limit,,"Default 100 per region; self-service max 1,000.",,,Enterprise Agreement,,,learn_docs,https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions,"Limits for resources, SKUs, and regions in Azure Kubernetes Service (AKS)","Enterprise Agreement subscriptions|100|1,000","Request quota increase up to 1,000.",high,2026-06-05,2026-06-05
AZL-0069,Azure Kubernetes Service,AKS cluster quota (Free Trial / Students),not_supported,quota_limit,,Default 3; not eligible for increases.,,,Free Trial / Students,,,learn_docs,https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions,"Limits for resources, SKUs, and regions in Azure Kubernetes Service (AKS)",Free Trial and Azure for Students subscriptions aren't eligible for limit or quota increases.,,high,2026-06-05,2026-06-05
AZL-0070,Azure Kubernetes Service,Restricted VM sizes (user node pools),not_supported,sku_restriction,,VM sizes with <2 vCPU and <2 GB RAM might not be used.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions,"Limits for resources, SKUs, and regions in Azure Kubernetes Service (AKS)","For user node pools, VM sizes with fewer than two vCPUs and two GBs of RAM (memory) might not be used.",,high,2026-06-05,2026-06-05
AZL-0071,Azure Kubernetes Service,Restricted VM sizes (system node pools),not_supported,sku_restriction,,VM sizes with <2 vCPU and <4 GB RAM might not be used.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions,"Limits for resources, SKUs, and regions in Azure Kubernetes Service (AKS)","For system node pools, VM sizes with fewer than two vCPUs and four GBs of RAM (memory) might not be used.",,high,2026-06-05,2026-06-05
